"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"142";"2592";"Companhia Mc. Hardy";"Campinas (Estado de São Paulo)";"Aperfeiçoamento na machina para descascar café, denominada "" Descascador Mc. Hardy. """;"Idem";"Idem."
"143";"2593";"Companhia Mc. Hardx";"Campinas (S. Paulo).";"Um catador para café, denominado "" Catador Companhia Mc. Hardy .";"Idem";"Idem."
"144";"2594";"Sensand de *avand & c.";"Osasco (Estado de São Paulo";"Grapito artificial para a fabricação de paral- lelipipedos, ladrilhos, etc.";"Idem";"Idem."
"145";"2595";"o mesmo.";"Osasco (S. Paulo).";"Parallelipipedos aperfeiçoados.";"Idem";"Idem."
"146";"2596";"Pierre Pessé. e";"Marcq-en-Barœul (França)";"Um processo de descoloração e purificação dos liquidos pelo carvão animal ein pó, empregado em effeito multiplo.";"Idem";"Idem."
"147";"2597";"Albert Louis Camille Nodon e Louis Albert Bretonneau.";"Paris (França).";"Um processo de penetração electro-capillar das substancias fibrosas especialmente madeiras pelos liquidos.";"22 de julho";"Idem."
"148";"2598";"Paschoal Segreto";"Capital Federal.";"Uma nova fita para animatographos ou outros apparelhos de projecção";"Idem";"Idem."
"149";"2599";"Alfred Andrew Lockewoyd.";"Londres (Inglaterra).";"Um apparelho de amalgamação, aperfeiçoado para o tratamento de minerios auriferos, ar- gentiferos e semelhantes, e para extracção dos metaes que conteem.";"29 de julho";""
"150";"2600";"Alfred George Wills";"Idem";"Aperfeiçoamento nos moinhos empregados para a moagem dos minerios auriferos, argentiferos e semelhantes, e para extracção das particulas metallicas por meio do azougue.";"Idem";"Idem."
"151";"2601";"Gesellschaft für Linde's Eismaxchine.";"Wiesbadem (Allemanha).";"Uma novamateriaexplosivadenominada<Oxiliquitl>";"Idem";"Idem."
"152";"2302";"George Gruber";"Lorena (Estado de S. Paulo)";"Machinismo para beneficiar café por meio do talco.";"23 de julho.";"13 annos."
